"station_id"	"catchment_code"	"catchment_name"	"Abramis_brama"	"Alburnoides_bipunctatus"	"Alburnus_alburnus"	"Alosa_alosa"	"Ambloplites_rupestris"	"Ameiurus_melas"	"Anguilla_anguilla"	"Aspius_aspius"	"Barbatula_barbatula"	"Barbus_barbus"	"Barbus_meridionalis"	"Blicca_bjoerkna"	"Carassius_auratus"	"Carassius_carassius"	"Carassius_gibelio"	"Chondrostoma_nasus"	"Cobitis_taenia"	"Cottus_gobio"	"Cyprinus_carpio"	"Esox_lucius"	"Gambusia_affinis"	"Gasterosteus_aculeatus"	"Gobio_gobio"	"Gymnocephalus_cernuus"	"Lampetra_fluviatilis"	"Lampetra_planeri"	"Lepomis_gibbosus"	"Leucaspius_delineatus"	"Leuciscus_burdigalensis"	"Leuciscus_idus"	"Leuciscus_leuciscus"	"Lota_lota"	"Micropterus_salmoides"	"Misgurnus_fossilis"	"Pachychilon_pictum"	"Parachondrostoma_toxostoma"	"Perca_fluviatilis"	"Petromyzon_marinus"	"Phoxinus_phoxinus"	"Potamoschistus_minutus"	"Pseudorasbora_parva"	"Pungitius_pungitius"	"Rhodeus_amarus"	"Rutilus_rutilus"	"Salaria_fluviatilis"	"Salmo_salar"	"Salmo_trutta_fario"	"Salmo_trutta_trutta"	"Salvelinus_fontinalis"	"Sander_lucioperca"	"Scardinius_erythrophthalmus"	"Silurus_glanis"	"Squalius_cephalus"	"Telestes_souffia"	"Thymallus_thymallus"	"Tinca_tinca"	"Zingel_asper"
6066	1	"Adour"	3	0	356	0	0	1	24	0	33	189	0	7	0	2	0	0	0	0	2	2	0	0	89	0	0	0	2	12	0	0	18	0	5	0	0	1	13	2	40	0	8	0	0	55	0	0	1	0	0	2	1	2	53	0	0	2	0
6067	1	"Adour"	1	0	27	0	0	3	3	0	3	4	0	1	1	2	0	0	0	0	3	0	0	0	99	0	0	0	6	5	0	0	3	0	1	0	0	0	2	0	4	0	5	0	0	42	0	0	0	0	0	0	4	0	6	0	0	5	0
6085	1	"Adour"	0	0	96	0	0	0	17	0	64	47	0	0	0	1	0	0	0	0	1	0	0	0	178	0	0	0	4	0	126	0	36	0	0	0	0	92	0	1	352	0	0	0	0	16	0	0	0	0	0	0	1	0	20	0	0	1	0
6086	1	"Adour"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	1	0	0	0	0	0	0	0	0
6087	1	"Adour"	3	0	21	0	0	1	5	0	15	87	0	0	0	0	0	0	0	0	1	1	0	0	106	0	0	1	3	0	0	0	15	0	0	0	0	26	1	0	470	0	0	0	0	26	0	0	3	0	1	1	2	0	23	0	0	2	0
6088	1	"Adour"	0	0	0	0	0	0	3	0	153	9	0	0	0	0	0	0	0	1	0	0	0	0	25	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	80	0	2	0	0	0	3	0	0	0	0
6095	1	"Adour"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0
6096	1	"Adour"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	124	0	0	0	0	0	0	0	0	0	0
6097	1	"Adour"	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0
6482	1	"Adour"	0	0	161	0	0	0	2	0	18	60	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	36	0	0	0	0	2	0	0	0	0	0	0	0	0	19	0	0	0	0
6483	1	"Adour"	0	0	72	0	0	0	22	0	100	297	0	0	0	0	0	0	0	0	0	1	0	0	40	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	641	0	0	0	0	9	0	0	1	0	0	0	0	0	149	0	0	0	0
6551	1	"Adour"	1	0	78	0	0	0	1	0	93	170	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	1	0	0	0	0	31	0	0	0	8	67	0	0	208	0	0	0	0	22	0	0	0	0	0	0	0	0	42	0	0	0	0
6553	1	"Adour"	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6644	1	"Adour"	0	0	0	0	0	0	5	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	33	0	0	0	0	0	0	0	0	0	0	0	11	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
