autores,year,journal,doi,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node
abdel-salam_et_al,2010,egyptian_academic_journal_of_biological_sciences,,multiple_diseases,prevalence/incidence,climate_change,tourism_impact,northern_and_central_red_sea,multiple_genera,,,,,,,,,,,,,,
aeby,1991,pacific_science,,trematodiasis,plagioporus,porites,hawaii,transmission,fish_predation,colony_growth,,,,,,,,,,,,,
aeby,1998,the_journal_of_parasitology,10.2307/3284684,trematodiasis,porites,podocotyloides_stenometra,hawaii,fish_predation,transmission,,,,,,,,,,,,,,
aeby,2002,behavioral_ecology_and_sociobiology,,trematodiasis,podocotyloides_stenometra,fish_predation,transmission,hawaii,,,,,,,,,,,,,,,
aeby,2003,coral_reefs,,trematodiasis,porites,hawaii,podocotyloides_stenometra,,,,,,,,,,,,,,,,
aeby,2005,coral_reefs,,hawaii,acropora,white_syndrome,outbreak,,,,,,,,,,,,,,,,
aeby,2007,bulletin_of_marine_science,,trematodiasis,hawaii,porites,spatial_patterns,season_effect,prevalence/incidence,sedimentation/turbidity,,,,,,,,,,,,,
aeby_&_santavy,2006,marine_ecology_progress_series,,black_band_disease,temperature,orbicella,fish_predation,mechanical_injury,floridian,transmission,,,,,,,,,,,,,
aeby_et_al,2008,proceedings_11_icrs,,spatial_patterns,prevalence/incidence,multiple_diseases,sign_description,samoa_islands,season_effect,multiple_genera,,,,,,,,,,,,,
aeby_et_al,2010,diseases_of_aquatic_organisms,,white_syndrome,montipora,hawaii,spatial_patterns,prevalence/incidence,season_effect,coral_mortality,transmission,,,,,,,,,,,,
aeby_et_al,2011,plos_one,,multiple_diseases,hawaii,prevalence/incidence,multiple_genera,spatial_patterns,,,,,,,,,,,,,,,
