"Data","Shizuka_boot","Ascanio_boot","Ascanio_perm"
"alaska",0.594259344472434,0.743903667647229,0.368421052631579
"amlc_coun",0.630559579219335,0.768419745665053,0.230228590924599
"bikes",0.978393968281048,0.985843299975592,0.200744482850306
"downwater",0.840975639330285,0.930467856574381,0.434954134325486
"enron",0.920881591736065,0.949609526514631,0.189491607881294
"got",0.962839216701436,0.979324253139739,0.2079268068186
"headwater",0.803330151277727,0.905264728135922,0.347649890893977
"ingre",0.591873526052986,0.819558785286774,0.421028898454362
"innov",0.829911254999927,0.903136008494702,0.375658584469092
"karate",0.801867971182861,0.883103281871082,0.387634936211972
"lesmis",0.917676398974173,0.963882900265443,0.264211962971754
"otu",0.605186034695182,0.66124167395043,0.176096520281228
"reptile",0.552977041002994,0.779449294425973,0.300443143472781
"rfid",0.8391203763656,0.867674001322127,0.19833468602519
"rnd",0.109059646676817,0.559491967640833,0.50269879094438
"sparrow",0.821054741988078,0.901603381384824,0.357352071615498
"tho",0.390947518908426,0.623207283868237,0.342104539580412
"tit",0.983444021770307,0.98967684119372,0.335036294356813
"uk",0.903077746591794,0.947421748382398,0.232056676889428
